10,0,"Mort,Kris",mort@cpts122.edu,4,CS,Senior,1,2023-4-9
9,0,"Willis,Bruce",brucewillis@cpts122.edu,AU,CS,Sophomore,2,2023-4-9,2023-4-9
8,0,"Smith,Jane",jane@cpts122.edu,4,CS,Sophomore,2,2023-4-9,2023-4-9
7,0,"Sam,Theo",samt@cpts122.edu,4,EE,Sophomore,1,2023-4-9
6,0,"Payton,Ella",epayton@cpts122.edu,4,CPTE,Graduate,1,2023-4-9
5,0,"James,Hannah",jameshannah@cpts122.edu,4,CS,Freshman,1,2023-4-9
4,0,"Art,Bruce",bart@cpts122.edu,AU,CPTE,Freshman,1,2023-4-9
3,0,"Leinart,Timothy",tim@cpts122.edu,4,EE,Junior,1,2023-4-9
2,0,"Beck,Sara",sara@cpts122.edu,4,EE,Junior,1,2023-4-9
1,0,"Smith,John",smithj@cpts122.edu,4,CS,Freshman,0
